Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment,redlistCategory,systems,realm,Economically_relevant,Charismatic_species,Weight,Dietary_class
P_0018,Cirrhinus mrigala,Mrigal carp,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Indomalayan,Yes,No,12700,NA
P_0018,Cyprinus carpio,Common carp,Actinopterygii,species,,Vulnerable,Freshwater (=Inland waters),Palearctic,Yes,No,40090,Carnivore/Piscivore
P_0018,Johnius coitor,Coitor croaker,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters)|Marine,Australasian|Indomalayan,Yes,No,NA,NA
P_0018,Mastacembelus armatus,Zig-zag eel,Actinopterygii,species,used name: Mastacembellus armatus,Least Concern,Freshwater (=Inland waters),Indomalayan|Palearctic,Yes,No,500,NA
P_0018,Mystus cavasius,Gangetic mystus,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Indomalayan,Yes,No,10000,NA
P_0018,Platanista gangetica,Ganges river dolphin,Mammalia,species,,Endangered,Freshwater (=Inland waters),Indomalayan,Yes,Yes,115000,Carnivore/Piscivore
P_0018,Sperata aor,Long-whiskered catfish,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Indomalayan,Yes,No,NA,NA
P_0018,Tilapia,Tilapia_genus,Actinopterygii,genus,used name: Tilapia tilapia,No IUCN assessment,NA,NA,No,No,NA,NA
P_0018,Wallago attu,Helicopter catfish,Actinopterygii,species,,Vulnerable,Freshwater (=Inland waters),Indomalayan,Yes,No,NA,NA
P_0019,Charadrius dubius,Little ringed plover,Aves,species,,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Afrotropical|Indomalayan|Nearctic|Oceanian|Palearctic,No,No,38.7,Carnivore/Piscivore
P_0019,Egretta garzetta,Little egret,Aves,species,,Least Concern,Terrestrial|Freshwater (=Inland waters),Afrotropical|Australasian|Indomalayan|Palearctic,No,No,312,Carnivore/Piscivore
P_0019,Paradoxornis webbianus,Parrot bill,Aves,species,used name: Paradoxornis webbiana,No IUCN assessment,NA,NA,No,No,10.9,Herbivore
P_0020,Alosa,Shad_genus,Actinopterygii,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0020,Callinectes sapidus,Blue crab,Malacostraca,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0020,Mugil,Mullet_genus_2,Actinopterygii,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0020,Mytilus,Mussel_genus,Bivalvia,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0020,Ostreidae,Oyster_family,Bivalvia,family,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0020,Sebastes schlegelii,Korean rockfish,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,3140,NA
P_0021,Konosirus punctatus,Dotted gizzard shad,Actinopterygii,species,,Least Concern,Marine,,No,No,NA,NA
P_0021,Mugil cephalus,Grey mullet,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters)|Marine,Afrotropical|Australasian|Indomalayan|Oceanian|Palearctic,Yes,No,NA,NA
P_0021,Oplegnathus fasciatus,Striped beakfish,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,6400,NA
P_0021,Sebastes schlegelii,Korean rockfish,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,3140,NA
P_0021,Seriola quinqueradiata,Japanese amberjack,Actinopterygii,species,,Least Concern,Marine,,Yes,No,40000,NA
P_0022,Haliaeetus albicilla,White-tailed sea eagle,Aves,species,,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Afrotropical|Indomalayan|Palearctic,No,No,4729.27,Carnivore/Piscivore
P_0023,Ameiurus catus,White catfish,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic,Yes,No,9750,NA
P_0023,Ameiurus natalis,Yellow bullhead,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic,No,No,1920,NA
P_0023,Ameiurus nebulosus,Brown bullhead,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic,No,No,2740,Carnivore/Piscivore
P_0023,Anguilla rostrata,American eel,Actinopterygii,species,,Endangered,Freshwater (=Inland waters)|Marine,Nearctic|Neotropical,Yes,No,7330,Carnivore/Piscivore
P_0023,Cyprinus carpio,Common carp,Actinopterygii,species,,Vulnerable,Freshwater (=Inland waters),Palearctic,Yes,No,40090,Carnivore/Piscivore
P_0023,Esox niger,Chain pickerel,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic,Yes,No,4250,NA
