Study_ID,Author_year,Paper_title,Publication_year,Country_FirstAuthor,Checked,Comment
P_0120,Dietz_2018,"Immunologic, reproductive, and carcinogenic risk assessment from POP exposure in East Greenland polar bears (Ursus maritimus) during 1983â€“2013",2018,Denmark,CV,
P_0121,Dodder_2014,"Occurrence of contaminants of emerging concern in mussels (Mytilus spp.) along the California coast and the influence of land use, storm water discharge, and treated wastewater effluent",2014,USA,CV,
P_0502,Domingo_2012,"Human exposure to perfluorinated compounds in Catalonia, Spain: Contribution of drinking water and fish and shellfish",2012,Spain,LR,
P_0122,Dorneles_2008,High accumulation of perfluorooctane sulfonate (PFOS) in marine tucuxi dolphins (Sotalia guianensis) from the Brazilian coast,2008,Brazil,CV,
P_0379,Du_2021,"Bioaccumulation, trophic transfer and biomagnification of perfluoroalkyl acids (PFAAs) in the marine food web of the South China Sea",2021,China,LR,
P_0629,Dykstra_2021,"Trends and Patterns of Perfluoroalkyl Substances in Blood Plasma Samples of Bald Eagle Nestlings in Wisconsin and Minnesota, USA",2021,USA,CV,
P_0401,Ecke_2020,Spatio-temporal variation of metals and organic contaminants in bank voles (Myodes glareolus),2020,Sweden,CV,
P_0123,Elliott_2021,"Exposure to persistent organic pollutants is linked to over-wintering latitude in a Pacific seabird, the rhinoceros auklet, Cerorhinca monocerata",2021,Canada,CV,
P_0350,Eriksson_2013,Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands,2013,Sweden,CV,
P_0124,Eriksson_2016,"Comparison of PFASs contamination in the freshwater and terrestrial environments by analysis of eggs from osprey (Pandion haliaetus), tawny owl (Strix aluco), and common kestrel (Falco tinnunculus)",2016,Sweden,CV,
P_0125,Escoruela_2018,Occurrence of Per- and Polyfluoroalkyl substances in Calonectris shearwaters breeding along the Mediterranean and Atlantic colonies,2018,Spain,CV,
P_0126,Fair_2012,"Assessment of perfluorinated compounds (PFCs) in plasma of bottlenose dolphins from two southeast US estuarine areas: Relationship with age, sex and geographic locations",2012,USA,CV,
P_0649,Fair_2013,Associations between perfluoroalkyl compounds and immune and clinical chemistry parameters in highly exposed bottlenose dolphins (Tursiops truncatus),2013,USA,LR,
P_0419,Fair_2019,"Perfluoroalkyl substances (PFASs) in edible fish species from Charleston Harbor and tributaries, South Carolina, United States: Exposure and risk assessment",2019,USA,CV,
P_0647,Fakouri_Baygi_2016,Comprehensive emerging chemical discovery: Novel polyfluorinated compounds in lake Michigan trout,2016,USA,LR,
P_0378,Fakouri_Baygi_2021,Nontargeted Discovery of Novel Contaminants in the Great Lakes Region: A Comparison of Fish Fillets and Fish Consumers,2021,USA,LR,
P_0537,Falandysz_2006,Is fish a major source of fluoridated surfactants and repellents in humans living on the baltic coast?,2006,Poland,LR,
P_0127,Falandysz_2007,Perfluorinated compounds in some terrestrial and aquatic wildlife species from Poland,2007,Poland,CV,
P_0500,Falk_2012,Temporal and spatial trends of perfluoroalkyl substances in liver of roe deer (Capreolus capreolus),2012,Germany,LR,
P_0422,Falk_2019,"Levels, accumulation patterns and retrospective trends of perfluoroalkyl acids (PFAAs) in terrestrial ecosystems over the last three decades",2019,Germany,LR,
P_0128,Fang_2014,"Distribution of perfluoroalkyl substances (PFASs) with isomer analysis among the tissues of aquatic organisms in Taihu Lake, China",2014,China,CV,
P_0665,Fang_2014,"Trophic magnification and isomer fractionation of perfluoroalkyl substances in the food web of Taihu Lake, China",2014,China,CV,
P_0582,Farabegoli_2013,Preliminary investigation by liquid chromatography tandem mass spectrometry of perfluorinated compounds presence in bass reared and fished in Italy,2013,Italy,CV,
P_0664,Fattore_2018,"Perfuorooctane Sulfonate (PFOS), Perfluorooctanoic Acid (PFOA), Brominated Dioxins (PBDDs) and Furans (PBDFs) in wild and farmed organisms at different trophic levels in the Mediterranean Sea",2018,Italy,CV,
P_0399,Fauconier_2020,Perfluorinated compounds in the aquatic food chains of two subtropical estuaries,2020,Belgium,CV,
P_0058,Faxneld_2016,Temporal trends and geographical differences of perfluoroalkyl acids in baltic sea herring and white-tailed sea eagle eggs in Sweden,2016,Sweden,CV,
P_0129,Fechner_2019,Influence of the geographical origin on substance concentrations in herring as basis for dietary exposure assessments,2019,Norway,CV,
P_0130,Fernandes_2018,Occurrence and spatial distribution of chemical contaminants in ediblefishspecies collected from UK and proximate marine waters,2018,UK,CV,
P_0590,Fernandez_Sanjuan_2010,Screening of perfluorinated chemicals (PFCs) in various aquatic organisms,2010,Spain,LR,
P_0472,Filipovic_2015,"Historical usage of aqueous film forming foam: A case study of the widespread distribution of perfluoroalkyl acids from a military airport to groundwater, lakes, soils and fish",2015,Sweden,CV,
P_0133,Fliedner_2012,"Levels and trends of industrial chemicals (PCBs, PFCs, PBDEs) in archived herring gull eggs from German coastal regions",2012,Germany,CV,
P_0046,Fliedner_2016,Current levels and trends of selected EU Water Framework Directive priority substances in freshwater fish from the German environmental specimen bank,2016,Germany,CV,
P_0132,Fliedner_2018,Biota monitoring under the Water Framework Directive: On tissuechoice andfish species selection,2018,Germany,CV,
P_0428,Fliedner_2018,Assessment of seafood contamination under the marine strategy framework directive: contributions of the German environmental specimen bank,2018,Germany,LR,
P_0131,Fliedner_2020,Chemicals of emerging concern in marine specimens of the German        Environmental Specimen Bank,2020,Germany,CV,
P_0478,Fujii_2015,Long-chain perfluoroalkyl carboxylic acids in Pacific cods from coastal areas in northern Japan: A major source of human dietary exposure,2015,Japan,CV,
P_0134,Fujii_2018,Different profiles of naturally produced and anthropogenic organohalogens in the livers of cetaceans from the Sea of Japan and the North Pacific Ocean,2018,Japan,CV,
P_0135,Fujii_2018,Tissue-specific bioaccumulation of long-chain perfluorinated carboxylic acids and halogenated methylbipyrroles in Dall's porpoises (Phocoenoides dalli) and harbor porpoises (Phocoena phocoena) stranded in northern Japan,2018,Japan,CV,
P_0418,Fujii_2019,Levels and profiles of long-chain perfluoroalkyl carboxylic acids in Pacific cod from 14 sites in the North Pacific Ocean,2019,Japan,CV,
P_0047,Fujii_2020,Perfluorinated carboxylic acids in edible clams: A possible exposure source of perfluorooctanoic acid for Japanese population,2020,Japan,CV,
P_0136,Furdui_2007,Spatial Distribution of Perfluoroalkyl Contaminants in Lake Trout from the Great Lakes,2007,Canada,CV,
P_0137,Furdui_2008,Temporal Trends of Perfluoroalkyl Compounds with Isomer Analysis in Lake Trout from Lake Ontario (1979-2004),2008,Canada,CV,
P_0140,Galatius_2011,Temporal and life history related trends of perfluorochemicals in harbor porpoises from the Danish North Sea,2011,Denmark,CV,
P_0139,Galatius_2013,PFAS profiles in three North Sea top predators: Metabolic differences among species?,2013,Denmark,CV,
P_0663,Gallocchio_2022,"Investigation of levels of perfluoroalkyl substances in freshwater fishes collected in a contaminated area of Veneto Region, Italy",2022,Italy,CV,
P_0142,Gantner_2012,"Physical and Biological Factors Affecting Mercury and Perfluorinated Contaminants in Arctic Char (Salvelinus alpinus) of Pingualuit Crater Lake (Nunavik, Canada)",2012,Canada,CV,
P_0144,Gao_2018,Simultaneous determination of 21 trace perfluoroalkyl substances in fish by isotope dilution ultrahigh performance liquid chromatography tandem mass spectrometry,2018,China,Excluded,Excluded
P_0143,Gao_2020,"Visualized Metabolic Disorder and Its Chemical Inducer in Wild Crucian Carp from Taihu Lake, China",2020,China,CV,
P_0405,Gao_2020,Occurrence and trophic transfer of per- and polyfluoroalkyl substances in an Antarctic ecosystem,2020,China,CV,
P_0626,Garsj�_2014,Perfluorinated Alkylated Substances (PFAS) in Arctic char (Salvelinus alpinus): a case study from Svalbard,2014,Norway,CV,
P_0619,Gebbink _2011,"Perfluoroalkyl compounds in gull species from across the Canadian environment: tissue distribution, maternal transfer, sources, and spatial and temporal trends",2011,Canada,CV,
P_0147,Gebbink_2009,Perfluorinated carboxylates and sulfonates and precursor compounds in herring gull eggs from colonies spanning the Laurentian Great Lakes of North America,2009,Canada,CV,
P_0515,Gebbink_2010,Linear and branched perfluorooctane sulfonate isomer patterns in herring gull eggs from colonial sites across the laurentian great lakes,2010,Canada,CV,
P_0149,Gebbink_2011,Perfluoroalkyl carboxylates and sulfonates and precursors in relation to dietary source tracers in the eggs of four species of gulls (Larids) from breeding sites spanning Atlantic to Pacific Canada,2011,Canada,CV,
