Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment
P_0032,Salvelinus alpinus,Arctic char,Actinopterygii,species,
P_0033,Neophocaena phocaenoides,Finless porpoise,Mammalia,species,
P_0033,Sousa chinensis,Indo-pacific humpback dolphin,Mammalia,species,
P_0034,Neophocaena asiaeorientalis,East asian finless porpoise,Mammalia,species,
P_0035,Orcinus orca,Killer whale,Mammalia,species,
P_0037,Alosa agone,Shad,Actinopterygii,species,
P_0037,Coregonus lavaretus,European whitefish,Actinopterygii,species,
P_0037,Lota lota,Burbot,Actinopterygii,species,
P_0037,Oncorhynchus mykiss,Rainbow trout,Actinopterygii,species,
P_0037,Perca fluviatilis,European perch,Actinopterygii,species,
P_0037,Rutilus rutilus,Common roach,Actinopterygii,species,
P_0037,Salmo trutta,Brown trout,Actinopterygii,species,
P_0037,Salvelinus alpinus,Arctic char,Actinopterygii,species,
P_0038,Larus michahellis,Yellow-legged gull,Aves,species,
P_0039,Catostomus commersonii,White sucker,Actinopterygii,species,
P_0040,Channa striata,Stripped snakehead,Actinopterygii,species,
P_0040,Corbicula fluminea,Asian clam,Bivalvia,species,
P_0040,Eleotris fusca,Dusky sleeper,Actinopterygii,species,
P_0040,Esomus danricus,Flying barb,Actinopterygii,species,
P_0040,Macrobranchium rosengbergii,Giant prawn,Malacostraca,species,
P_0040,Oreochromis niloticus,Nile tilapia,Actinopterygii,species,
P_0040,Pangasius elongatus,Shark catfish,Actinopterygii,species,
P_0040,Pomacea canaliculata,Golden applesnail,Gastropoda,species,
P_0040,Varuna litterata,Freshwaterpaddle crab,Malacostraca,species,
P_0041,Barbus barbus,Common barbel,Actinopterygii,species,
P_0041,Oncorhynchus mykiss,Rainbow trout,Actinopterygii,species,
P_0041,Squalius cephalus,European chub,Actinopterygii,species,
P_0042,Parus caeruleus,Blue tit,Aves,species,
P_0042,Parus major,Great tit,Aves,species,
P_0043,Falco peregrinus,Peregrine falcon,Aves,species,
P_0045,Pusa hispida,Ringed seal,Mammalia,species,
P_0046,Abramis brama,Common bream,Actinopterygii,species,
P_0047,Arctica islandica,Mahogany clam,Bivalvia,species,
P_0047,Ruditapes philippinarum,Manila clam,Bivalvia,species,
P_0048,Larus fuscus,Lesser black-backed gull,Aves,species,
P_0049,Gobiidae,True goby_family,Actinopterygii,family,
P_0050,Ursus maritimus,Polar bear,Mammalia,species,
P_0050,Vulpes lagopus,Arctic fox,Mammalia,species,
P_0051,Sturnus vulgaris,Common starling,Aves,species,
P_0053,Delphinus delphis,Common dolphin,Mammalia,species,
P_0053,Grampus griseus,Risso's dolphin,Mammalia,species,
P_0053,Physeter macrocephalus,Sperm whale,Mammalia,species,
P_0053,Stenella coeruleoalba,Striped dolphin,Mammalia,species,
P_0053,Tursiops truncatus,Bottlenose dolphin,Mammalia,species,
P_0054,Mugil cephalus,Grey mullet,Actinopterygii,species,
P_0055,Larus argentatus,Herring gull,Aves,species,
P_0055,Larus californicus,California gull ,Aves,species,
P_0055,Larus glaucescens,Glaucous-winged gull,Aves,species,
P_0056,Acanthopagrus australis,Yellowfin bream,Actinopterygii,species,
P_0056,Penaeus plebejus,Eastern king prawn,Malacostraca,species,
P_0056,Sillago ciliata,Sand whiting,Actinopterygii,species,
P_0057,Esox lucius,Northern pike,Actinopterygii,species,
P_0057,Phalacrocorax auritus,Double-crested cormorant,Aves,species,
P_0057,Tursiops truncatus,Bottlenose dolphin,Mammalia,species,
P_0058,Clupea harengus,Baltic herring,Actinopterygii,species,
P_0058,Haliaeetus albicilla,White-tailed sea eagle,Aves,species,
P_0059,Artemia,Brine shrimp_genus,Branchiopoda,genus,
P_0059,Cyprinodon,Pupfish_genus,Actinopterygii,genus,
P_0060,Perca fluviatilis,European perch,Actinopterygii,species,
P_0061,Vulpes lagopus,Arctic fox,Mammalia,species,
P_0062,Tursiops truncatus,Bottlenose dolphin,Mammalia,species,
P_0063,Limanda limanda,Common dab,Actinopterygii,species,
P_0064,Perca fluviatilis,European perch,Actinopterygii,species,
P_0065,Phoca vitulina,Harbour seal,Mammalia,species,
P_0066,Oncorhynchus mykiss,Rainbow trout,Actinopterygii,species,
P_0066,Salmo trutta,Brown trout,Actinopterygii,species,
P_0066,Salvelinus alpinus,Arctic char,Actinopterygii,species,
P_0066,Salvelinus namaycush,Lake trout,Actinopterygii,species,
P_0067,Notropis cornutus,Common shiner,Actinopterygii,species,
